TEAM_NAME,TEAM_ID,RIM_PCT,MID_PCT,SUM_USAGE,EFG_PCT,FTA_RATE,OREB_PCT,TM_TOV_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,PACE,PCT_FGA_3PT,BENCH_PTS_PCT
Atlanta Hawks,1610612737,-0.16564,1.30855,-0.07647,-0.26631,-1.13,0.35146,-1.43912,0.61343,0.54712,0.02028,-1.32123,1.0189,-1.36237,-0.1815
Boston Celtics,1610612738,-0.94511,-1.19166,1.5404,1.22423,-1.17934,-0.99625,-0.72635,1.38919,-1.42744,1.693,0.89449,-0.36972,2.21145,-0.80219
Brooklyn Nets,1610612751,-1.13998,1.34102,-1.4093,0.98574,-0.34048,-1.82866,-0.1154,0.22555,-0.23448,0.27372,0.40211,-0.58868,0.22067,0.01599
Charlotte Hornets,1610612766,1.16596,-0.41237,-0.09832,-1.75685,-0.29114,-0.16384,-0.1154,-2.44652,0.25916,-1.60176,0.1867,0.96704,-0.66679,-1.05611
Chicago Bulls,1610612741,0.45145,2.80219,-0.12017,0.27028,-0.78459,-1.74938,-0.72635,-0.55022,-1.05721,0.32441,-0.85962,-0.35244,-1.3144,-0.74577
Cleveland Cavaliers,1610612739,0.58136,-0.41237,0.36052,0.62801,-0.1431,-0.28276,-0.31905,0.61343,-1.71539,1.41421,-0.09027,-2.02916,-0.40295,-1.31003
Dallas Mavericks,1610612742,-1.20494,-0.70461,2.15219,1.16461,1.53463,-2.14577,-1.64277,0.78582,0.83507,-0.05576,-0.92117,-1.48754,2.37935,0.41097
Denver Nuggets,1610612743,1.16596,0.23703,-0.79751,1.64158,-0.38983,0.35146,0.69919,1.1737,-0.23448,0.83129,1.84849,-0.60596,-0.64281,-0.52006
Detroit Pistons,1610612765,-0.62033,0.62668,-1.16896,-1.51836,1.38659,0.47038,1.00467,-1.80006,1.53439,-2.00727,-0.67497,0.0509,-0.37897,1.56771
Golden State Warriors,1610612744,-2.01689,-0.28249,0.51347,1.52234,-2.1169,-0.1242,1.81926,0.44104,-0.27561,0.42578,2.71016,1.58357,2.18747,0.4674
Houston Rockets,1610612745,1.29588,-1.19166,-0.92861,-1.75685,0.89314,2.53158,2.22656,-1.54147,1.86348,-2.05796,-1.59819,-0.02977,-0.69078,-0.379
Indiana Pacers,1610612754,0.84118,-0.70461,-1.8026,-0.02782,-0.09376,0.19291,0.59737,-0.11924,1.24644,-0.84143,1.23301,1.08804,0.60443,2.10376
LA Clippers,1610612746,-0.65281,1.11373,0.20757,0.32991,0.54773,-0.28276,0.2919,-0.03304,-0.19334,0.12165,-0.67497,-0.54834,-0.01919,1.79341
Los Angeles Lakers,1610612747,1.13349,0.65915,0.95046,-0.20669,1.58397,-0.44131,-0.31905,-0.07614,-0.35789,0.17234,-0.42878,1.22633,-0.88266,1.03166
Memphis Grizzlies,1610612763,0.74375,-1.5813,0.75381,-0.32593,-0.38983,0.86676,-0.72635,0.26864,-1.3863,1.0087,-0.21337,0.98433,-0.37897,-0.12508
Miami Heat,1610612748,-1.62715,-0.0552,-1.19081,-0.92215,0.15297,-0.24312,-0.21723,-0.76571,-0.52243,-0.13179,0.15592,-1.74682,0.4845,-0.85862
Milwaukee Bucks,1610612749,-0.68529,0.36691,1.6715,0.56839,-0.93262,0.15327,0.2919,0.09625,-1.30403,0.85664,0.03283,0.95552,1.39595,-0.23793
Minnesota Timberwolves,1610612750,1.13349,-0.63967,-0.46977,0.8665,0.20231,-0.87733,1.00467,-0.33473,-0.39902,0.04562,0.21747,1.01314,-0.1631,-0.01223
