TEAM_NAME,TEAM_ID,RIM_PCT,MID_PCT,SUM_USAGE,EFG_PCT,FTA_RATE,OREB_PCT,TM_TOV_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,PACE,PCT_FGA_3PT,BENCH_PTS_PCT
Atlanta Hawks,1610612737,0.85333,-1.083,0.38116,0.72224,-1.39788,-1.78774,0.39382,-0.31114,-1.71355,0.75943,2.05314,0.51545,1.06393,-0.0666
Boston Celtics,1610612738,0.623,-0.3969,-0.46688,-0.77574,-0.44478,0.4486,-0.92942,0.07779,-1.09856,0.64239,0.86132,1.36718,0.17675,0.4884
Brooklyn Nets,1610612751,-0.26543,0.42198,-0.87722,-0.56174,-1.08018,0.00932,0.48834,-1.02418,1.50614,-1.44474,0.02451,-0.19905,-1.37065,-0.20535
Charlotte Hornets,1610612766,-1.02224,-0.35264,-0.82251,-0.02675,0.12002,-1.3884,-1.78007,0.27225,-0.66444,0.52536,0.10059,-0.14227,1.31151,0.68266
Chicago Bulls,1610612741,-0.0351,0.95315,-0.5763,-0.82924,-1.29198,0.4486,-0.55135,-0.4732,-0.01326,-0.27438,0.22737,0.02808,-0.83422,-0.1221
Cleveland Cavaliers,1610612739,-0.85772,-0.72888,1.61219,1.15024,-0.62128,0.60834,-0.45683,1.50385,-0.59209,1.22757,0.12594,-1.28737,1.39404,-1.89812
Dallas Mavericks,1610612742,-1.74615,0.11214,-1.2602,-0.02675,-0.40948,-1.5082,-1.49652,-0.01945,0.13144,-0.07932,0.25273,-0.56813,1.12582,0.40515
Denver Nuggets,1610612743,1.93919,-0.83954,-0.41217,-0.72224,0.19062,1.00769,0.2993,-0.21391,0.9635,-0.64499,0.48095,-0.09495,-0.15336,1.68166
Detroit Pistons,1610612765,-0.29834,-0.81741,-0.24803,-0.61524,0.68482,1.3671,-0.74038,-0.08427,-0.23032,0.05722,-1.77589,-0.37413,0.38307,-2.25887
Golden State Warriors,1610612744,0.09652,-1.30432,2.07724,3.23671,-0.93898,-0.4699,0.20479,2.5734,-0.99003,2.06632,2.48422,1.75045,1.60036,-1.23211
Houston Rockets,1610612745,1.21528,-2.54371,0.24438,0.72224,2.66163,0.72814,1.24447,0.56395,0.63791,-0.0013,0.17666,0.88926,1.76541,-0.87136
Indiana Pacers,1610612754,-0.79191,1.263,-0.05654,-0.29425,-0.30358,-0.31016,0.2993,-0.57043,-1.20709,0.31079,-0.71086,0.38296,-0.29779,-0.1776
LA Clippers,1610612746,-1.51581,0.82036,0.62737,1.15024,1.46142,-1.78774,-1.402,0.53153,-1.0262,0.87646,0.35416,0.12744,0.81634,0.68266
Los Angeles Lakers,1610612747,-1.21967,0.46625,0.57265,-2.27372,0.54362,-0.31016,-0.55135,-1.57516,1.7232,-1.89337,-1.75053,0.00442,0.11485,0.65491
Memphis Grizzlies,1610612763,0.78752,0.20066,-1.28756,-1.36423,0.64952,0.76808,-0.74038,-0.27873,0.56556,-0.46944,-0.508,-1.22585,-1.28813,1.23766
Miami Heat,1610612748,0.26104,0.68757,0.70943,0.29425,0.19062,0.04925,0.01575,-0.01945,-0.66444,0.3303,-0.9898,-1.13595,-1.30876,-1.20436
Milwaukee Bucks,1610612749,2.53147,-0.02066,-2.08089,-0.18725,-0.02118,0.28886,1.05544,-0.70007,0.81879,-0.87907,0.53167,-0.70536,-1.96898,-1.70386
Minnesota Timberwolves,1610612750,0.16233,1.72778,-0.5763,-0.24075,1.95562,0.00932,0.67737,-0.05186,1.25291,-0.68401,0.93739,-0.1612,-1.70077,0.29415
New Orleans Pelicans,1610612740,0.19524,0.28919,1.14713,-0.24075,-0.62128,-1.06892,-1.02393,-0.24632,1.03585,-0.72302,-0.12763,0.52018,-0.15336,1.65391
New York Knicks,1610612752,-1.64743,1.8827,0.08024,-1.04324,-0.76248,0.04925,-0.55135,-0.53802,0.42085,-0.54747,-0.63479,-1.14541,-0.58664,0.12765
Oklahoma City Thunder,1610612760,1.08366,-0.15345,2.13195,1.15024,0.54362,2.72488,1.33899,2.11966,-0.2665,1.44214,-0.60943,0.47287,-0.19463,-0.62161
Orlando Magic,1610612753,-0.26543,0.7761,-1.15078,-0.13375,-1.57438,-0.31016,-0.36231,-0.37596,0.16762,-0.31339,0.35416,0.06593,-0.60727,0.34965
Philadelphia 76ers,1610612755,0.78752,-1.54777,-0.63101,-0.82924,-0.26828,-1.14879,1.62254,-2.3206,1.1082,-1.9909,0.30345,0.89873,0.87824,1.15441
Phoenix Suns,1610612756,0.26104,-0.17558,-0.08389,-0.82924,-0.19768,0.72814,2.37868,-1.31587,0.85497,-1.26918,-0.60943,1.34825,0.36244,0.90466
Portland Trail Blazers,1610612757,-0.39705,-0.21985,1.06506,0.45474,-0.30358,0.60834,0.20479,0.66118,0.45703,0.15475,-0.76158,0.24574,0.9814,-0.1776
Sacramento Kings,1610612758,0.91914,-0.77315,1.14713,0.40125,0.64952,0.08919,1.14996,-0.08427,0.74644,-0.44994,0.75989,1.94919,-0.50411,0.29415
San Antonio Spurs,1610612759,-1.12096,1.70565,-0.5763,1.25724,-1.08018,-0.50983,-0.92942,1.21216,-2.65414,2.16385,0.73453,-0.94668,-1.26749,1.12666
Toronto Raptors,1610612761,-0.068,-0.41903,0.43587,0.08025,1.81442,0.84795,-0.8349,1.21216,-0.2665,0.85696,-1.80125,-1.50976,0.05296,-1.20436
Utah Jazz,1610612762,-0.068,-0.66249,-0.95929,-0.08025,0.33182,0.96775,1.24447,-0.1815,-0.84532,0.34981,-1.42088,-2.30944,0.25928,-0.2331
Washington Wizards,1610612764,-0.39705,0.73183,-0.16596,0.45474,-0.48008,-1.14879,-0.2678,-0.34355,-0.15797,-0.09883,0.93739,1.23942,-0.0502,0.23865
