TEAM_NAME,TEAM_ID,RIM_PCT,MID_PCT,SUM_USAGE,EFG_PCT,FTA_RATE,OREB_PCT,TM_TOV_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,PACE,PCT_FGA_3PT,BENCH_PTS_PCT
Atlanta Hawks,1610612737,1.11483,-1.48435,-1.09376,-0.14455,-0.14929,0.71133,2.66715,-0.77308,1.20546,-1.16513,0.70899,1.8406,0.93156,0.50504
Boston Celtics,1610612738,-1.36256,0.76556,-1.19695,0.65603,-1.73467,-0.80493,-1.37982,0.55021,-0.97653,0.91344,0.70899,-0.10872,0.46824,0.21479
Brooklyn Nets,1610612751,0.44784,-1.35069,0.48841,-0.27798,1.00011,0.59902,0.8171,-0.28555,-0.26112,-0.0198,-0.16138,0.40575,0.93156,1.68539
Charlotte Hornets,1610612766,-0.02859,-0.39281,0.5572,-0.67827,-0.07002,-0.18719,-1.95796,0.34127,0.81199,-0.27431,-0.54217,-0.6987,0.40506,1.04684
Chicago Bulls,1610612741,0.54312,0.29776,0.14446,-1.27871,-0.94198,-1.64729,0.23896,-1.81778,1.09815,-1.759,-1.30375,-0.64206,-1.34293,-0.23027
Cleveland Cavaliers,1610612739,-0.69557,0.58735,-0.88739,-1.41214,-0.90235,0.59902,-0.10792,-1.01684,2.52897,-2.11957,-1.79333,-1.553,-0.56371,1.33709
Dallas Mavericks,1610612742,-0.82262,-0.61557,0.69478,-0.3447,1.27755,0.0936,0.35459,-0.3552,0.13235,-0.31673,0.13781,-0.50047,1.3317,0.13739
Denver Nuggets,1610612743,-0.25092,-0.41508,-0.92179,0.18903,-1.06088,2.05912,-0.33917,0.8288,-0.58306,0.84981,1.49777,-1.02438,-0.22675,0.04064
Detroit Pistons,1610612765,-0.44148,-0.66012,-0.19949,-1.01185,0.12815,1.10444,0.12334,-0.45967,-0.36843,-0.06222,-0.51497,-1.31229,0.74202,-0.09482
Golden State Warriors,1610612744,-1.68018,1.47841,1.2451,2.72421,-1.25906,-0.80493,0.00771,1.83868,-0.40421,1.38005,1.90575,0.50959,0.53142,-1.56542
Houston Rockets,1610612745,-0.88614,-2.15264,2.6553,1.18976,0.80194,-0.13103,-0.4548,1.80385,0.13235,1.01949,-1.54854,-1.07157,3.37453,-1.97177
Indiana Pacers,1610612754,0.60664,1.34475,-0.19949,0.38917,-0.66454,-0.13103,0.00771,-0.11143,-1.33423,0.72255,0.81779,-0.95358,-1.40611,0.48569
LA Clippers,1610612746,0.79721,0.20866,0.21325,0.32246,2.66476,-0.46798,0.23896,0.58503,0.23966,0.21351,-0.43337,0.94382,-1.34293,2.382
Los Angeles Lakers,1610612747,2.09943,-0.63785,0.17885,0.18903,-0.07002,-0.07488,1.27961,-0.8079,-0.29689,-0.33794,0.05621,1.38749,-0.35311,-0.57857
