TEAM_NAME,TEAM_ID,RIM_PCT,MID_PCT,SUM_USAGE,EFG_PCT,FTA_RATE,OREB_PCT,TM_TOV_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,PACE,PCT_FGA_3PT,BENCH_PTS_PCT
Atlanta Hawks,1610612737,-0.11873,-0.7492,-0.03876,-0.39581,0.33595,1.07742,-0.34806,0.49818,1.36892,-0.3719,-0.4758,0.96938,0.47385,-0.47983
Boston Celtics,1610612738,-1.2481,-0.55669,0.76227,1.66239,-1.06673,0.16509,-1.54142,2.05724,-1.38067,2.12974,-0.64217,-0.67078,2.7184,-1.36494
Brooklyn Nets,1610612751,-0.07529,-0.36417,-0.40051,-0.818,-0.54722,0.25198,-0.24862,-0.57703,0.31138,-0.53624,-0.07653,-0.91165,0.61636,0.6848
Charlotte Hornets,1610612766,0.31565,0.40588,-1.87337,-0.92355,-1.69015,-1.31202,0.34806,-1.59848,1.65093,-1.94227,-0.40926,-0.76828,-0.13182,-0.573
Chicago Bulls,1610612741,0.40252,2.42728,-1.66665,-0.65968,-0.44332,0.33887,-1.24308,-0.14695,0.41714,-0.31712,-1.27435,-1.26721,-1.30754,-1.5047
Cleveland Cavaliers,1610612739,0.79346,-1.56739,0.01292,0.55413,-0.54722,-0.39969,0.14917,0.04122,-0.8519,0.44981,1.28766,-0.87724,0.97264,0.07919
Dallas Mavericks,1610612742,-1.42185,0.5984,2.05425,0.818,0.33595,-1.13824,-1.24308,0.65946,0.13513,0.37677,-1.2078,0.83174,1.64957,0.0559
Denver Nuggets,1610612743,1.14096,1.22407,0.29715,0.818,-1.06673,0.72986,-0.6464,0.87451,-0.7814,0.99761,1.22111,-0.9862,-1.52131,-1.06214
Detroit Pistons,1610612765,0.1419,0.79091,-0.1938,-1.08187,0.0762,-0.26935,1.44197,-1.49096,1.22791,-1.65011,-0.30944,0.74572,-1.23629,1.19724
Golden State Warriors,1610612744,-1.98654,0.50214,-0.27132,0.55413,-1.32649,1.38153,0.54695,0.63258,-0.00588,0.43155,1.28766,0.43604,1.07952,1.40687
Houston Rockets,1610612745,0.57627,-0.17166,-0.24548,-0.92355,0.64766,0.4692,-0.94474,-0.22759,-0.60514,0.15765,-1.27435,0.25252,0.08194,-0.27019
Indiana Pacers,1610612754,1.14096,-0.4123,-1.56329,1.66239,-1.17064,0.03476,-1.04419,1.60028,1.08691,0.52285,0.72202,1.72638,-0.52373,1.82614
LA Clippers,1610612746,-0.42279,0.64653,-0.63307,0.76523,0.59571,-0.00869,-0.24862,0.90139,0.02938,0.61415,-0.94162,-0.69946,-0.41685,0.28883
Los Angeles Lakers,1610612747,1.27127,0.30963,-0.09044,1.0291,1.63474,-1.70302,0.04972,0.22938,0.09988,0.10287,0.72202,1.27906,-1.30754,-1.43482
Memphis Grizzlies,1610612763,-0.29248,-2.00054,0.65891,-1.97904,-0.33942,0.16509,1.54142,-2.08233,-0.28788,-1.26665,0.38929,-0.26935,1.18641,0.21895
Miami Heat,1610612748,-2.02997,0.16524,-0.73643,-0.44858,0.64766,-0.96446,-0.6464,-0.33511,-1.06341,0.32199,0.52238,-1.30162,-0.02494,0.56834
