TEAM_NAME,TEAM_ID,RIM_PCT,MID_PCT,SUM_USAGE,EFG_PCT,FTA_RATE,OREB_PCT,TM_TOV_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,PACE,PCT_FGA_3PT,BENCH_PTS_PCT
Atlanta Hawks,1610612737,0.353,0.225,0.513,0.504,0.295,0.282,0.16,104.5,105.2,-0.7,0.621,97.76,0.309,0.329
Boston Celtics,1610612738,0.321,0.167,0.555,0.525,0.273,0.259,0.136,110.6,108.0,2.6,0.653,97.21,0.393,0.303
Brooklyn Nets,1610612751,0.349,0.131,0.5409999999999999,0.507,0.289,0.241,0.162,103.6,110.1,-6.5,0.566,101.75,0.371,0.431
Charlotte Hornets,1610612766,0.299,0.231,0.514,0.501,0.279,0.247,0.119,108.4,108.4,0.0,0.611,95.92,0.335,0.349
Chicago Bulls,1610612741,0.31,0.281,0.55,0.487,0.259,0.311,0.14,106.5,106.2,0.3,0.584,96.02,0.256,0.331
Cleveland Cavaliers,1610612739,0.299,0.2,0.587,0.547,0.275,0.264,0.14,112.8,109.7,3.1,0.567,96.74,0.399,0.264
Dallas Mavericks,1610612742,0.225,0.275,0.506,0.505,0.225,0.216,0.127,104.7,107.7,-3.0,0.574,93.11,0.366,0.332
Denver Nuggets,1610612743,0.369,0.168,0.453,0.53,0.276,0.314,0.15,112.2,111.7,0.4,0.615,99.18,0.329,0.36
Detroit Pistons,1610612765,0.271,0.279,0.5,0.492,0.218,0.286,0.123,105.3,106.7,-1.4,0.53,95.52,0.263,0.328
Golden State Warriors,1610612744,0.326,0.202,0.5569999999999999,0.563,0.259,0.272,0.146,114.8,103.4,11.4,0.705,100.37,0.359,0.283
Houston Rockets,1610612745,0.356,0.081,0.6100000000000001,0.545,0.304,0.281,0.15,114.1,108.4,5.7,0.626,100.55,0.462,0.339
Indiana Pacers,1610612754,0.286,0.278,0.5409999999999999,0.516,0.261,0.255,0.141,107.9,108.1,-0.2,0.572,96.59,0.272,0.316
LA Clippers,1610612746,0.31,0.256,0.515,0.537,0.312,0.256,0.133,111.8,107.5,4.4,0.57,96.77,0.329,0.352
Los Angeles Lakers,1610612747,0.335,0.196,0.492,0.501,0.259,0.284,0.153,105.3,112.0,-6.7,0.532,99.26,0.295,0.45
Memphis Grizzlies,1610612763,0.319,0.21,0.542,0.491,0.28,0.295,0.137,107.0,106.5,0.5,0.584,92.84,0.316,0.376
Miami Heat,1610612748,0.317,0.203,0.522,0.512,0.251,0.284,0.14,107.4,106.4,1.0,0.544,95.51,0.314,0.374
Milwaukee Bucks,1610612749,0.382,0.18,0.537,0.527,0.274,0.26,0.146,108.5,108.7,-0.2,0.624,94.99,0.29,0.376
Minnesota Timberwolves,1610612750,0.332,0.275,0.5569999999999999,0.511,0.287,0.309,0.146,110.0,110.9,-0.9,0.6,95.48,0.249,0.216
New Orleans Pelicans,1610612740,0.312,0.227,0.6799999999999999,0.504,0.256,0.228,0.129,104.7,106.8,-2.1,0.582,98.56,0.308,0.355
New York Knicks,1610612752,0.315,0.286,0.54,0.496,0.239,0.305,0.143,107.1,110.7,-3.6,0.551,96.63,0.279,0.306
Oklahoma City Thunder,1610612760,0.377,0.191,0.673,0.5,0.295,0.323,0.152,107.9,107.1,0.8,0.532,98.18,0.295,0.339
Orlando Magic,1610612753,0.289,0.247,0.47,0.489,0.246,0.267,0.137,103.7,110.3,-6.5,0.58,96.9,0.3,0.341
Philadelphia 76ers,1610612755,0.344,0.176,0.6,0.501,0.258,0.273,0.167,102.7,108.2,-5.5,0.631,99.07,0.349,0.388
Phoenix Suns,1610612756,0.335,0.256,0.555,0.493,0.297,0.299,0.152,106.1,111.3,-5.2,0.491,100.85,0.255,0.327
Portland Trail Blazers,1610612757,0.327,0.217,0.5720000000000001,0.52,0.275,0.269,0.139,109.4,110.0,-0.6,0.534,97.38,0.322,0.284
Sacramento Kings,1610612758,0.315,0.225,0.508,0.516,0.284,0.258,0.152,106.6,110.8,-4.2,0.594,95.42,0.291,0.358
San Antonio Spurs,1610612759,0.277,0.295,0.554,0.524,0.263,0.282,0.141,110.3,102.9,7.4,0.606,94.86,0.281,0.37
Toronto Raptors,1610612761,0.297,0.241,0.5800000000000001,0.517,0.293,0.291,0.132,111.4,107.1,4.3,0.472,95.41,0.289,0.297
Utah Jazz,1610612762,0.332,0.196,0.498,0.526,0.288,0.27,0.148,109.0,104.7,4.3,0.544,92.09,0.327,0.325
Washington Wizards,1610612764,0.325,0.254,0.5569999999999999,0.528,0.254,0.286,0.143,110.4,108.8,1.7,0.577,97.94,0.284,0.248
