TEAM_NAME,TEAM_ID,RIM_PCT,MID_PCT,SUM_USAGE,EFG_PCT,FTA_RATE,OREB_PCT,TM_TOV_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,PACE,PCT_FGA_3PT,BENCH_PTS_PCT
Atlanta Hawks,1610612737,0.323,0.098,0.5630000000000001,0.515,0.258,0.267,0.155,107.0,114.4,-7.4,0.589,103.28,0.398,0.304
Boston Celtics,1610612738,0.324,0.126,0.548,0.531,0.259,0.283,0.137,112.8,106.5,6.3,0.557,99.92,0.386,0.25
Brooklyn Nets,1610612751,0.36,0.078,0.571,0.52,0.267,0.28,0.148,108.7,109.2,-0.5,0.606,101.7,0.423,0.329
Charlotte Hornets,1610612766,0.351,0.073,0.475,0.504,0.252,0.28,0.15,105.9,112.8,-7.0,0.639,96.24,0.399,0.329
Chicago Bulls,1610612741,0.373,0.086,0.5469999999999999,0.515,0.231,0.267,0.153,105.8,108.9,-3.1,0.587,100.46,0.396,0.358
Cleveland Cavaliers,1610612739,0.331,0.124,0.517,0.522,0.227,0.296,0.165,106.9,114.8,-7.9,0.573,99.17,0.362,0.313
Dallas Mavericks,1610612742,0.277,0.11,0.618,0.545,0.264,0.275,0.126,115.9,111.2,4.8,0.592,99.89,0.457,0.328
Denver Nuggets,1610612743,0.32,0.158,0.514,0.535,0.235,0.294,0.139,112.6,110.4,2.2,0.636,97.64,0.344,0.333
Detroit Pistons,1610612765,0.339,0.096,0.542,0.529,0.261,0.277,0.155,108.8,112.3,-3.5,0.612,97.86,0.381,0.427
Golden State Warriors,1610612744,0.287,0.179,0.476,0.497,0.264,0.255,0.146,104.4,113.0,-8.6,0.663,101.04,0.355,0.374
Houston Rockets,1610612745,0.335,0.061,0.6859999999999999,0.537,0.288,0.249,0.14,112.5,109.8,2.7,0.53,104.04,0.501,0.244
Indiana Pacers,1610612754,0.335,0.196,0.478,0.534,0.216,0.243,0.132,109.5,107.5,1.9,0.614,99.41,0.317,0.311
LA Clippers,1610612746,0.312,0.151,0.619,0.535,0.295,0.278,0.142,113.3,106.9,6.3,0.571,102.16,0.375,0.432
Los Angeles Lakers,1610612747,0.361,0.152,0.592,0.542,0.276,0.283,0.149,111.7,106.1,5.6,0.6,101.2,0.358,0.347
Memphis Grizzlies,1610612763,0.32,0.105,0.503,0.528,0.24,0.271,0.147,108.7,109.7,-1.0,0.633,103.31,0.346,0.365
Miami Heat,1610612748,0.295,0.133,0.494,0.547,0.299,0.257,0.149,111.9,109.3,2.7,0.657,98.7,0.419,0.373
Milwaukee Bucks,1610612749,0.317,0.116,0.623,0.552,0.271,0.241,0.142,111.9,102.5,9.4,0.598,105.51,0.428,0.337
Minnesota Timberwolves,1610612750,0.347,0.071,0.583,0.514,0.277,0.264,0.146,107.6,111.6,-4.0,0.59,103.94,0.433,0.335
New Orleans Pelicans,1610612740,0.349,0.115,0.516,0.539,0.256,0.287,0.156,110.5,111.8,-1.3,0.63,103.89,0.403,0.327
New York Knicks,1610612752,0.349,0.179,0.505,0.501,0.263,0.3,0.143,105.9,112.4,-6.5,0.552,99.11,0.318,0.396
Oklahoma City Thunder,1610612760,0.301,0.161,0.504,0.53,0.29,0.241,0.137,110.1,108.1,2.1,0.543,99.42,0.353,0.358
Orlando Magic,1610612753,0.297,0.168,0.495,0.506,0.256,0.267,0.129,107.9,109.2,-1.3,0.608,98.99,0.364,0.355
Philadelphia 76ers,1610612755,0.306,0.163,0.5509999999999999,0.534,0.255,0.281,0.142,110.7,108.4,2.3,0.628,99.59,0.36,0.296
Phoenix Suns,1610612756,0.328,0.162,0.525,0.532,0.271,0.261,0.145,111.3,110.8,0.5,0.661,101.74,0.361,0.272
Portland Trail Blazers,1610612757,0.304,0.177,0.5509999999999999,0.533,0.242,0.266,0.126,113.2,114.3,-1.1,0.488,101.17,0.374,0.232
Sacramento Kings,1610612758,0.3,0.128,0.5529999999999999,0.534,0.23,0.258,0.144,109.5,111.4,-1.9,0.582,99.6,0.395,0.344
San Antonio Spurs,1610612759,0.259,0.245,0.498,0.531,0.262,0.233,0.123,111.7,112.6,-0.9,0.585,101.14,0.318,0.398
Toronto Raptors,1610612761,0.355,0.097,0.514,0.536,0.264,0.256,0.146,110.8,104.7,6.1,0.627,101.19,0.421,0.296
Utah Jazz,1610612762,0.303,0.089,0.5569999999999999,0.549,0.268,0.261,0.152,111.8,109.3,2.5,0.56,99.15,0.414,0.302
Washington Wizards,1610612764,0.306,0.186,0.5740000000000001,0.523,0.27,0.262,0.136,110.2,114.7,-4.5,0.602,103.38,0.358,0.422
