TEAM_NAME,TEAM_ID,RIM_PCT,MID_PCT,SUM_USAGE,EFG_PCT,FTA_RATE,OREB_PCT,TM_TOV_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,PACE,PCT_FGA_3PT,BENCH_PTS_PCT
Atlanta Hawks,1610612737,0.365,0.085,0.507,0.522,0.255,0.284,0.162,107.5,113.1,-5.5,0.624,104.56,0.403,0.365
Boston Celtics,1610612738,0.287,0.186,0.504,0.534,0.215,0.257,0.127,111.3,107.0,4.3,0.624,100.43,0.381,0.35
Brooklyn Nets,1610612751,0.344,0.091,0.5529999999999999,0.52,0.284,0.282,0.146,108.9,109.0,-0.1,0.592,101.52,0.403,0.426
Charlotte Hornets,1610612766,0.329,0.134,0.5549999999999999,0.514,0.257,0.268,0.122,110.7,112.0,-1.3,0.578,99.18,0.378,0.393
Chicago Bulls,1610612741,0.347,0.165,0.5429999999999999,0.505,0.235,0.242,0.141,104.5,112.8,-8.3,0.55,99.3,0.295,0.327
Cleveland Cavaliers,1610612739,0.308,0.178,0.513,0.503,0.236,0.282,0.138,106.8,116.8,-10.0,0.532,97.37,0.332,0.408
Dallas Mavericks,1610612742,0.304,0.124,0.5589999999999999,0.519,0.291,0.273,0.142,108.7,110.1,-1.5,0.603,99.6,0.422,0.346
Denver Nuggets,1610612743,0.322,0.133,0.512,0.527,0.232,0.308,0.136,112.1,108.1,4.0,0.653,98.49,0.348,0.341
Detroit Pistons,1610612765,0.316,0.122,0.5329999999999999,0.509,0.262,0.291,0.14,108.4,108.7,-0.3,0.579,97.88,0.394,0.334
Golden State Warriors,1610612744,0.277,0.218,0.575,0.565,0.227,0.257,0.139,115.0,108.6,6.5,0.668,101.74,0.384,0.258
Houston Rockets,1610612745,0.302,0.055,0.616,0.542,0.279,0.269,0.135,114.9,110.1,4.8,0.541,98.39,0.519,0.237
Indiana Pacers,1610612754,0.349,0.212,0.533,0.53,0.242,0.269,0.139,109.4,106.0,3.4,0.628,98.64,0.292,0.364
LA Clippers,1610612746,0.355,0.161,0.5449999999999999,0.529,0.326,0.263,0.141,111.4,110.4,1.0,0.582,102.66,0.295,0.462
Los Angeles Lakers,1610612747,0.396,0.123,0.544,0.527,0.257,0.27,0.15,107.4,108.9,-1.6,0.6,103.6,0.342,0.309
Memphis Grizzlies,1610612763,0.313,0.147,0.536,0.508,0.272,0.247,0.143,105.6,108.0,-2.4,0.631,97.15,0.342,0.339
Miami Heat,1610612748,0.332,0.124,0.493,0.515,0.247,0.291,0.149,106.7,107.1,-0.4,0.612,98.73,0.368,0.411
Milwaukee Bucks,1610612749,0.374,0.092,0.56,0.55,0.255,0.25,0.133,113.5,104.9,8.6,0.601,103.57,0.419,0.269
Minnesota Timberwolves,1610612750,0.322,0.189,0.541,0.511,0.267,0.292,0.129,110.6,112.2,-1.6,0.591,100.88,0.315,0.313
New Orleans Pelicans,1610612740,0.36,0.127,0.5609999999999999,0.529,0.254,0.285,0.142,110.7,112.0,-1.3,0.619,103.89,0.324,0.288
New York Knicks,1610612752,0.339,0.186,0.49,0.49,0.27,0.264,0.14,104.0,112.9,-8.9,0.525,100.16,0.334,0.405
Oklahoma City Thunder,1610612760,0.361,0.151,0.586,0.514,0.266,0.298,0.134,109.8,106.5,3.4,0.548,103.38,0.347,0.262
Orlando Magic,1610612753,0.286,0.196,0.506,0.518,0.216,0.259,0.133,108.2,107.6,0.6,0.632,98.65,0.36,0.334
Philadelphia 76ers,1610612755,0.326,0.171,0.552,0.532,0.312,0.278,0.144,111.6,109.0,2.6,0.648,102.59,0.342,0.275
Phoenix Suns,1610612756,0.333,0.159,0.554,0.514,0.259,0.247,0.153,105.3,114.2,-8.9,0.595,101.15,0.335,0.341
Portland Trail Blazers,1610612757,0.361,0.168,0.529,0.528,0.258,0.308,0.137,113.7,109.5,4.2,0.544,99.96,0.339,0.314
Sacramento Kings,1610612758,0.323,0.164,0.481,0.524,0.244,0.268,0.128,109.6,110.8,-1.2,0.588,103.88,0.321,0.374
San Antonio Spurs,1610612759,0.243,0.281,0.545,0.534,0.237,0.246,0.122,112.2,110.6,1.6,0.58,98.88,0.286,0.342
Toronto Raptors,1610612761,0.322,0.144,0.527,0.543,0.247,0.265,0.138,112.6,106.8,5.8,0.603,100.51,0.379,0.317
Utah Jazz,1610612762,0.359,0.102,0.5469999999999999,0.538,0.295,0.275,0.149,110.3,105.3,5.0,0.644,100.84,0.394,0.329
Washington Wizards,1610612764,0.342,0.161,0.5640000000000001,0.531,0.266,0.252,0.136,110.2,112.9,-2.7,0.623,102.23,0.37,0.334
