TEAM_NAME,TEAM_ID,RIM_PCT,MID_PCT,SUM_USAGE,EFG_PCT,FTA_RATE,OREB_PCT,TM_TOV_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,PACE,PCT_FGA_3PT,BENCH_PTS_PCT
Atlanta Hawks,1610612737,0.302,0.06,0.499,0.546,0.252,0.3,0.149,113.7,114.8,-1.1,0.682,103.41,0.41,0.367
Boston Celtics,1610612738,0.229,0.087,0.583,0.561,0.212,0.291,0.122,119.5,110.1,9.4,0.628,96.59,0.536,0.262
Brooklyn Nets,1610612751,0.284,0.064,0.454,0.516,0.24,0.294,0.156,108.1,115.4,-7.3,0.669,96.73,0.458,0.368
Charlotte Hornets,1610612766,0.274,0.085,0.615,0.503,0.222,0.308,0.157,106.7,115.7,-9.1,0.635,98.22,0.43,0.321
Chicago Bulls,1610612741,0.304,0.07,0.45799999999999996,0.553,0.214,0.26,0.141,113.2,114.8,-1.6,0.673,103.61,0.457,0.305
Cleveland Cavaliers,1610612739,0.278,0.078,0.563,0.578,0.241,0.296,0.131,121.0,111.8,9.2,0.631,100.31,0.457,0.326
Dallas Mavericks,1610612742,0.275,0.113,0.565,0.549,0.263,0.271,0.14,113.7,115.0,-1.3,0.601,100.15,0.389,0.332
Denver Nuggets,1610612743,0.336,0.109,0.52,0.573,0.259,0.311,0.14,118.9,115.1,3.8,0.683,100.67,0.356,0.218
Detroit Pistons,1610612765,0.295,0.095,0.579,0.547,0.248,0.305,0.147,114.6,112.5,2.1,0.618,100.27,0.394,0.348
Golden State Warriors,1610612744,0.246,0.085,0.5569999999999999,0.536,0.244,0.314,0.141,114.2,111.0,3.2,0.714,99.37,0.469,0.383
Houston Rockets,1610612745,0.291,0.111,0.526,0.523,0.242,0.363,0.14,114.9,110.3,4.6,0.549,99.03,0.384,0.286
Indiana Pacers,1610612754,0.275,0.125,0.46299999999999997,0.562,0.241,0.254,0.13,115.4,113.3,2.1,0.671,100.76,0.4,0.339
LA Clippers,1610612746,0.276,0.091,0.5660000000000001,0.554,0.251,0.282,0.151,114.3,109.4,4.9,0.605,98.24,0.387,0.28
Los Angeles Lakers,1610612747,0.275,0.101,0.619,0.557,0.271,0.273,0.142,115.0,113.8,1.2,0.635,98.34,0.425,0.231
Memphis Grizzlies,1610612763,0.262,0.066,0.5860000000000001,0.554,0.249,0.33,0.151,117.2,112.6,4.7,0.635,103.69,0.406,0.361
Miami Heat,1610612748,0.258,0.085,0.509,0.544,0.232,0.263,0.138,112.4,112.0,0.4,0.653,97.08,0.429,0.324
Milwaukee Bucks,1610612749,0.276,0.148,0.615,0.568,0.268,0.235,0.133,115.1,112.7,2.4,0.607,99.92,0.424,0.313
Minnesota Timberwolves,1610612750,0.287,0.073,0.5529999999999999,0.554,0.249,0.3,0.146,115.7,110.8,5.0,0.637,97.95,0.455,0.306
New Orleans Pelicans,1610612740,0.301,0.101,0.591,0.519,0.244,0.303,0.146,109.7,119.1,-9.4,0.636,99.77,0.385,0.302
New York Knicks,1610612752,0.313,0.114,0.554,0.556,0.232,0.305,0.134,117.3,113.3,4.0,0.634,97.64,0.382,0.188
Oklahoma City Thunder,1610612760,0.262,0.109,0.6060000000000001,0.56,0.22,0.281,0.116,119.2,106.6,12.7,0.602,100.9,0.419,0.291
Orlando Magic,1610612753,0.283,0.118,0.636,0.51,0.269,0.302,0.147,108.9,109.1,-0.2,0.603,96.51,0.411,0.34
Philadelphia 76ers,1610612755,0.305,0.1,0.526,0.527,0.257,0.279,0.138,111.0,117.3,-6.3,0.584,98.13,0.426,0.284
Phoenix Suns,1610612756,0.187,0.137,0.568,0.561,0.241,0.264,0.142,114.7,117.7,-3.0,0.673,98.31,0.44,0.3
Portland Trail Blazers,1610612757,0.328,0.084,0.491,0.521,0.246,0.332,0.16,111.0,113.7,-2.7,0.587,99.51,0.418,0.323
Sacramento Kings,1610612758,0.226,0.166,0.495,0.548,0.235,0.294,0.133,115.9,115.3,0.6,0.615,98.91,0.391,0.227
San Antonio Spurs,1610612759,0.303,0.102,0.5740000000000001,0.544,0.234,0.278,0.138,113.5,116.3,-2.8,0.685,100.08,0.441,0.387
Toronto Raptors,1610612761,0.329,0.086,0.543,0.522,0.232,0.311,0.152,109.6,113.6,-4.1,0.685,100.62,0.373,0.329
Utah Jazz,1610612762,0.231,0.072,0.533,0.533,0.252,0.311,0.17,110.2,119.4,-9.2,0.633,100.85,0.449,0.366
Washington Wizards,1610612764,0.265,0.095,0.533,0.512,0.229,0.272,0.152,105.8,118.0,-12.2,0.637,101.82,0.435,0.367
