TEAM_NAME,TEAM_ID,RIM_PCT,MID_PCT,SUM_USAGE,EFG_PCT,FTA_RATE,OREB_PCT,TM_TOV_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,PACE,PCT_FGA_3PT,BENCH_PTS_PCT
Atlanta Hawks,1610612737,0.281,0.148,0.548,0.543,0.253,0.269,0.12,115.4,113.7,1.6,0.593,98.67,0.39,0.312
Boston Celtics,1610612738,0.275,0.123,0.611,0.542,0.239,0.277,0.139,113.6,106.2,7.4,0.609,97.26,0.425,0.271
Brooklyn Nets,1610612751,0.281,0.181,0.529,0.54,0.246,0.281,0.141,113.2,112.3,0.9,0.602,99.4,0.359,0.298
Charlotte Hornets,1610612766,0.34,0.085,0.498,0.544,0.234,0.27,0.131,113.6,113.1,0.5,0.656,100.52,0.418,0.312
Chicago Bulls,1610612741,0.292,0.218,0.592,0.541,0.248,0.249,0.13,112.7,113.2,-0.5,0.572,98.76,0.332,0.24
Cleveland Cavaliers,1610612739,0.318,0.114,0.524,0.538,0.261,0.277,0.148,111.0,108.9,2.1,0.634,96.83,0.387,0.329
Dallas Mavericks,1610612742,0.245,0.135,0.618,0.538,0.249,0.256,0.13,112.5,109.1,3.5,0.595,95.64,0.439,0.301
Denver Nuggets,1610612743,0.3,0.119,0.5760000000000001,0.556,0.244,0.268,0.146,113.8,111.5,2.3,0.667,98.41,0.416,0.325
Detroit Pistons,1610612765,0.315,0.124,0.526,0.494,0.249,0.276,0.143,105.6,113.3,-7.7,0.615,98.81,0.391,0.371
Golden State Warriors,1610612744,0.267,0.116,0.577,0.552,0.235,0.269,0.15,112.1,106.6,5.5,0.669,98.74,0.456,0.331
Houston Rockets,1610612745,0.359,0.053,0.473,0.534,0.284,0.265,0.162,108.1,116.4,-8.3,0.598,101.16,0.448,0.358
Indiana Pacers,1610612754,0.321,0.124,0.475,0.531,0.239,0.31,0.145,111.9,115.5,-3.6,0.612,98.55,0.395,0.327
LA Clippers,1610612746,0.254,0.167,0.6020000000000001,0.531,0.224,0.254,0.139,109.5,109.5,0.0,0.599,98.51,0.391,0.369
Los Angeles Lakers,1610612747,0.341,0.144,0.581,0.537,0.259,0.256,0.142,110.0,112.8,-2.9,0.576,100.47,0.388,0.326
Memphis Grizzlies,1610612763,0.307,0.091,0.613,0.522,0.245,0.338,0.13,114.3,108.9,5.3,0.597,100.52,0.346,0.337
Miami Heat,1610612748,0.267,0.137,0.538,0.547,0.252,0.278,0.149,113.0,108.4,4.5,0.644,96.53,0.422,0.368
Milwaukee Bucks,1610612749,0.274,0.14,0.595,0.546,0.257,0.269,0.133,114.3,111.1,3.2,0.572,100.59,0.43,0.241
Minnesota Timberwolves,1610612750,0.306,0.088,0.534,0.539,0.254,0.284,0.141,113.8,111.0,2.7,0.617,101.47,0.454,0.333
New Orleans Pelicans,1610612740,0.308,0.147,0.56,0.517,0.264,0.306,0.143,111.2,112.0,-0.8,0.621,98.02,0.365,0.308
New York Knicks,1610612752,0.29,0.123,0.547,0.513,0.28,0.291,0.137,109.7,110.2,-0.4,0.581,96.42,0.428,0.312
Oklahoma City Thunder,1610612760,0.272,0.08,0.526,0.497,0.223,0.256,0.14,103.8,111.7,-8.0,0.58,99.39,0.419,0.339
Orlando Magic,1610612753,0.287,0.11,0.489,0.503,0.223,0.249,0.144,103.9,112.1,-8.1,0.62,99.71,0.417,0.359
Philadelphia 76ers,1610612755,0.281,0.152,0.641,0.534,0.282,0.246,0.129,113.0,110.2,2.8,0.602,96.71,0.376,0.248
Phoenix Suns,1610612756,0.229,0.18,0.548,0.549,0.221,0.264,0.129,114.2,106.8,7.5,0.627,100.26,0.354,0.309
Portland Trail Blazers,1610612757,0.306,0.113,0.477,0.515,0.248,0.268,0.146,107.3,116.3,-9.1,0.595,98.74,0.422,0.302
Sacramento Kings,1610612758,0.292,0.123,0.528,0.525,0.264,0.259,0.14,109.6,114.8,-5.2,0.585,100.1,0.377,0.332
San Antonio Spurs,1610612759,0.285,0.141,0.5,0.527,0.22,0.281,0.126,111.9,111.7,0.2,0.646,100.51,0.345,0.351
Toronto Raptors,1610612761,0.268,0.149,0.49,0.51,0.234,0.325,0.128,112.1,109.9,2.2,0.543,96.63,0.375,0.235
Utah Jazz,1610612762,0.266,0.062,0.5800000000000001,0.555,0.271,0.3,0.143,116.2,110.0,6.2,0.552,97.5,0.468,0.338
Washington Wizards,1610612764,0.287,0.15,0.583,0.532,0.252,0.247,0.133,110.2,113.6,-3.4,0.617,97.8,0.356,0.363
