TEAM_NAME,TEAM_ID,RIM_PCT,MID_PCT,SUM_USAGE,EFG_PCT,FTA_RATE,OREB_PCT,TM_TOV_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,PACE,PCT_FGA_3PT,BENCH_PTS_PCT
Atlanta Hawks,1610612737,0.293,0.097,0.548,0.539,0.251,0.308,0.133,116.4,118.4,-2.0,0.618,100.84,0.408,0.281
Boston Celtics,1610612738,0.267,0.101,0.579,0.578,0.224,0.287,0.121,122.2,110.6,11.7,0.613,97.98,0.471,0.243
Brooklyn Nets,1610612751,0.294,0.105,0.534,0.531,0.234,0.289,0.134,112.4,115.4,-2.9,0.63,97.56,0.412,0.331
Charlotte Hornets,1610612766,0.303,0.121,0.477,0.529,0.212,0.253,0.14,108.6,119.2,-10.6,0.62,97.81,0.391,0.277
Chicago Bulls,1610612741,0.305,0.163,0.485,0.534,0.236,0.291,0.124,114.0,115.7,-1.7,0.594,96.94,0.358,0.237
Cleveland Cavaliers,1610612739,0.314,0.08,0.55,0.557,0.234,0.274,0.138,114.7,112.1,2.5,0.671,97.62,0.422,0.305
Dallas Mavericks,1610612742,0.263,0.125,0.629,0.562,0.251,0.257,0.124,117.0,114.9,2.1,0.596,100.6,0.441,0.304
Denver Nuggets,1610612743,0.322,0.138,0.5609999999999999,0.562,0.224,0.3,0.13,117.8,112.3,5.5,0.669,97.43,0.352,0.256
Detroit Pistons,1610612765,0.299,0.129,0.542,0.526,0.246,0.277,0.151,109.0,118.0,-9.0,0.623,100.45,0.36,0.353
Golden State Warriors,1610612744,0.25,0.123,0.5389999999999999,0.557,0.219,0.315,0.142,116.9,114.5,2.4,0.671,99.91,0.425,0.362
Houston Rockets,1610612745,0.309,0.109,0.54,0.529,0.257,0.294,0.127,113.7,112.8,0.9,0.594,99.59,0.397,0.29
Indiana Pacers,1610612754,0.322,0.104,0.489,0.578,0.222,0.284,0.126,120.5,117.6,2.9,0.654,102.16,0.38,0.38
LA Clippers,1610612746,0.286,0.126,0.525,0.561,0.256,0.283,0.134,117.9,114.6,3.4,0.604,97.93,0.383,0.314
Los Angeles Lakers,1610612747,0.325,0.119,0.546,0.566,0.276,0.244,0.137,115.4,114.8,0.6,0.654,101.38,0.358,0.24
Memphis Grizzlies,1610612763,0.289,0.071,0.575,0.509,0.238,0.287,0.152,106.8,113.7,-6.9,0.644,98.68,0.428,0.311
Miami Heat,1610612748,0.249,0.116,0.521,0.538,0.257,0.261,0.13,113.3,111.5,1.8,0.648,96.88,0.394,0.326
Milwaukee Bucks,1610612749,0.287,0.135,0.5940000000000001,0.568,0.27,0.255,0.128,117.6,115.0,2.6,0.615,100.51,0.43,0.273
Minnesota Timberwolves,1610612750,0.305,0.097,0.5820000000000001,0.559,0.27,0.275,0.144,114.6,108.4,6.3,0.646,97.79,0.384,0.286
New Orleans Pelicans,1610612740,0.306,0.112,0.554,0.558,0.261,0.278,0.132,116.5,111.9,4.6,0.634,98.7,0.373,0.278
New York Knicks,1610612752,0.29,0.104,0.598,0.54,0.246,0.333,0.138,117.3,112.4,4.9,0.59,95.96,0.404,0.252
Oklahoma City Thunder,1610612760,0.3,0.122,0.549,0.573,0.24,0.25,0.125,118.3,111.0,7.3,0.609,100.85,0.383,0.288
Orlando Magic,1610612753,0.343,0.112,0.542,0.541,0.287,0.297,0.15,112.9,110.8,2.2,0.61,97.37,0.369,0.376
Philadelphia 76ers,1610612755,0.313,0.114,0.66,0.532,0.264,0.292,0.122,116.2,113.0,3.1,0.6,98.17,0.373,0.273
Phoenix Suns,1610612756,0.268,0.161,0.572,0.565,0.271,0.292,0.15,116.8,113.7,3.1,0.637,99.0,0.378,0.229
Portland Trail Blazers,1610612757,0.306,0.121,0.536,0.503,0.228,0.32,0.154,107.6,116.6,-9.0,0.587,97.88,0.37,0.305
Sacramento Kings,1610612758,0.257,0.097,0.5469999999999999,0.556,0.229,0.285,0.131,116.2,114.4,1.8,0.654,99.46,0.432,0.307
San Antonio Spurs,1610612759,0.307,0.106,0.541,0.532,0.22,0.269,0.148,109.3,115.6,-6.4,0.712,101.8,0.401,0.354
Toronto Raptors,1610612761,0.317,0.103,0.497,0.535,0.241,0.281,0.139,111.8,118.1,-6.3,0.674,99.91,0.369,0.293
Utah Jazz,1610612762,0.271,0.074,0.522,0.539,0.251,0.325,0.155,114.5,119.6,-5.1,0.648,100.26,0.406,0.377
Washington Wizards,1610612764,0.312,0.092,0.5509999999999999,0.538,0.221,0.24,0.136,110.2,118.9,-8.7,0.65,103.07,0.389,0.347
