TEAM_NAME,TEAM_ID,RIM_PCT,MID_PCT,SUM_USAGE,EFG_PCT,FTA_RATE,OREB_PCT,TM_TOV_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,PACE,PCT_FGA_3PT,BENCH_PTS_PCT
Atlanta Hawks,1610612737,0.294,0.159,0.552,0.541,0.244,0.289,0.126,115.5,115.4,0.1,0.56,101.56,0.331,0.296
Boston Celtics,1610612738,0.27,0.082,0.626,0.566,0.243,0.255,0.133,117.3,110.6,6.7,0.632,99.15,0.48,0.274
Brooklyn Nets,1610612751,0.264,0.16,0.491,0.562,0.26,0.234,0.139,114.6,113.5,1.1,0.616,98.77,0.397,0.303
Charlotte Hornets,1610612766,0.335,0.106,0.5509999999999999,0.516,0.261,0.276,0.139,108.4,114.7,-6.3,0.609,101.47,0.36,0.265
Chicago Bulls,1610612741,0.313,0.205,0.55,0.55,0.251,0.236,0.133,112.8,111.5,1.3,0.575,99.18,0.333,0.276
Cleveland Cavaliers,1610612739,0.317,0.106,0.5720000000000001,0.556,0.264,0.273,0.137,115.5,109.9,5.6,0.6,96.27,0.371,0.256
Dallas Mavericks,1610612742,0.262,0.097,0.6539999999999999,0.565,0.298,0.226,0.124,115.9,116.1,-0.2,0.573,97.21,0.487,0.317
Denver Nuggets,1610612743,0.335,0.126,0.519,0.573,0.259,0.289,0.147,116.8,113.5,3.3,0.663,98.74,0.361,0.284
Detroit Pistons,1610612765,0.28,0.138,0.502,0.52,0.295,0.292,0.15,109.9,117.8,-7.9,0.581,99.88,0.372,0.358
Golden State Warriors,1610612744,0.237,0.11,0.579,0.571,0.224,0.277,0.158,115.1,113.4,1.7,0.691,102.54,0.479,0.319
Houston Rockets,1610612745,0.339,0.082,0.513,0.516,0.285,0.344,0.162,110.5,118.6,-8.1,0.551,99.74,0.359,0.289
Indiana Pacers,1610612754,0.325,0.097,0.473,0.545,0.265,0.285,0.146,113.8,117.1,-3.3,0.643,101.68,0.413,0.377
LA Clippers,1610612746,0.279,0.153,0.565,0.551,0.278,0.273,0.143,114.0,113.6,0.5,0.581,98.84,0.387,0.366
Los Angeles Lakers,1610612747,0.334,0.139,0.599,0.542,0.299,0.269,0.137,113.9,113.2,0.7,0.589,101.92,0.351,0.339
Memphis Grizzlies,1610612763,0.322,0.07,0.5900000000000001,0.54,0.259,0.302,0.133,114.7,110.7,4.0,0.596,101.5,0.372,0.298
Miami Heat,1610612748,0.249,0.117,0.501,0.53,0.27,0.274,0.138,112.3,112.8,-0.5,0.608,96.76,0.408,0.272
Milwaukee Bucks,1610612749,0.278,0.13,0.632,0.555,0.248,0.284,0.143,114.3,110.9,3.4,0.604,101.45,0.446,0.294
Minnesota Timberwolves,1610612750,0.334,0.099,0.534,0.56,0.271,0.258,0.15,113.3,113.1,0.2,0.61,101.55,0.381,0.302
New Orleans Pelicans,1610612740,0.319,0.126,0.5660000000000001,0.543,0.279,0.29,0.145,113.8,112.0,1.9,0.616,99.58,0.344,0.278
New York Knicks,1610612752,0.305,0.096,0.586,0.541,0.285,0.318,0.131,117.0,114.2,2.8,0.546,97.75,0.4,0.254
Oklahoma City Thunder,1610612760,0.335,0.087,0.5569999999999999,0.531,0.256,0.289,0.127,114.2,113.2,1.0,0.567,101.94,0.369,0.32
Orlando Magic,1610612753,0.313,0.137,0.502,0.532,0.29,0.281,0.151,111.3,113.7,-2.3,0.574,99.66,0.361,0.33
Philadelphia 76ers,1610612755,0.304,0.113,0.617,0.563,0.3,0.258,0.139,117.0,112.7,4.4,0.616,97.44,0.389,0.28
Phoenix Suns,1610612756,0.231,0.174,0.616,0.535,0.241,0.307,0.136,114.5,112.3,2.2,0.647,98.83,0.362,0.319
Portland Trail Blazers,1610612757,0.335,0.103,0.5780000000000001,0.549,0.289,0.264,0.145,114.0,118.0,-4.0,0.597,99.25,0.413,0.245
Sacramento Kings,1610612758,0.302,0.093,0.5349999999999999,0.572,0.284,0.265,0.133,118.6,116.0,2.6,0.626,100.99,0.423,0.309
San Antonio Spurs,1610612759,0.314,0.112,0.513,0.525,0.229,0.299,0.148,109.7,119.6,-9.9,0.632,102.07,0.348,0.37
Toronto Raptors,1610612761,0.293,0.134,0.499,0.517,0.257,0.316,0.118,114.6,113.1,1.5,0.571,97.85,0.351,0.248
Utah Jazz,1610612762,0.278,0.072,0.532,0.547,0.265,0.308,0.151,115.3,116.0,-0.7,0.611,101.02,0.421,0.332
Washington Wizards,1610612764,0.277,0.138,0.5609999999999999,0.55,0.258,0.273,0.142,113.7,114.9,-1.2,0.603,99.16,0.365,0.303
